partition,key_value,codunicocli,grp_campecs06m,prob_value_contact,monto,probabilidad_modelo,prediccion_umbral_050,frescura,puntuacion_tlv,grupo_ejec,orden
p10,E76366490D3C78EA86855635AF0ECCE0AFE83379ADCE40EC41FE5E376133E252,14785896,G1,0.3766229106835969,21100,0.4072560686064132,0,0.066,0.10079756595449903,1,60
p10,69E73A7DB6497CFF31FEC1BA9DEC188B297177ADED799148106065CA2DEB8A9E,16652537,G1,0.5198238038588027,12600,0.310231382806508,0,0.066,0.10049125533165756,1,61
p10,EC84C974A69C09040276B5017AC0F7A25891846D4DB919EBC23E52A2671F7F6E,16407966,G1,0.362248209649094,17900,0.42536988479456733,0,0.066,0.0995899384247916,1,62
p10,BA85D01D7E230F461C6276AA89FECFB93FE06D5ADCA4A375CE912BF788C4E5EC,15978681,G1,0.4317980237519375,16500,0.3590807436069757,0,0.066,0.09937760788922952,1,63
p10,F7D4FEC79346F9334FCF5901FB12ED767A2D2AF214439AF0DEBD48CE763C60DE,16604563,G1,0.4387023081323848,4400,0.4082426879591402,0,0.066,0.09916829699614055,1,64
p10,FF2E95FD6ABC5A8607BE980FD7DDC8D811909B90E9FA34A1F012294DA6EACFCA,13336840,G1,0.45347474741338,39200,0.3124698745834536,0,0.066,0.09891118985631692,1,65
p10,D5B7A699AB0958588517EF4945CF254D102B65420193E75A2D85D02D68B66408,9692293,G1,0.4468190898334593,30000,0.32386808238681686,0,0.066,0.09845998256156133,1,66
p10,1C52F294CCFC71BBF4474DAE4A6721837AC6092CADD18BD2091A5881C86CC42C,9818438,G1,0.3957367961795416,20000,0.3804581276075978,0,0.066,0.098411893483231,1,67
p10,D22180D50C20E64E70760C3CEE12E4403362836AF6B9C3D738813B960B1152CF,15613562,G1,0.4356784116019591,13600,0.3570812337547361,0,0.066,0.0977277896895344,1,68
p10,34D1E8DFE9A243D059102918A953CBE39975B8E772BC70CBBCDD5B34AEC5DE4D,10284432,G1,0.4897767163955753,15800,0.31245243902221626,0,0.066,0.09764610581751505,1,69
p10,F7F891318CB3C7B17FE679D3DAA27082A808E65B55A1BCAEF977E08FE0745D71,15511125,G1,0.5145392993845246,27400,0.27997448662922236,0,0.066,0.09715408611645465,1,70
p10,85A86665DC4C096A789F77B075377625FA8C0482D7F73A300CCA3D04041EE627,8327169,G1,0.2945518501732614,43300,0.4666125900425957,0,0.066,0.09684292579858111,1,71
p10,6183A9BE3F811F26CE31CF5FA2E0094A38098BEBECAA477F918B1019A3A3ABBD,16381807,G1,0.4481381045632549,17300,0.33391840446064125,0,0.066,0.0963784867263943,1,72
p10,7AE77BAA71B4DE59DBB1C19554C431A0212E4E1E6886E6A2784A25B19CBA622F,8705773,G1,0.5951080852373973,52500,0.2239806834016262,0,0.066,0.09561443379832522,1,73
p10,AE94314037F9BD6B70D642673515B16FA5449EE2659502D2A3D449D213BACF3B,11956340,G1,0.5369515188619444,1100,0.3845049986288717,0,0.066,0.09543892403709132,1,74
p10,4830CF33DC51EFA56D24279F9E19BBAFE3ADA177CAF0A978D68D63C675E9AE39,15768548,G1,0.5241649053572177,4900,0.324128533341997,0,0.066,0.0952806478255905,1,75
p10,393DBB85691D0BB27A57E8B31E32AB2F8724315F034E884D83D668FCC9C49BE4,12519927,G1,0.4589789224992846,6600,0.35759807854531256,0,0.066,0.09527227463693337,1,76
p10,4AB1F4A55B7C9BCD48B6B1D4CA0E46EC7AAC195C033E340CD3E5560BE0EBCE44,10983331,G1,0.486765315839526,25700,0.2898563994508279,0,0.066,0.09455746274217582,1,77
p10,3DAF55CBD5A0290427D6D70113F7182CF092A7129136F21EFE2CD79E9CA56DD7,12412815,G1,0.4337238688511987,28500,0.3220217528752218,0,0.066,0.09455668253840695,1,78
p10,09B60671D365175A7A538EE82810F4118219A4C963A6B27FD9FAE060E2FA6857,12586590,G1,0.4424485581609091,32000,0.31147528754656784,0,0.066,0.09435318514646857,1,79
p10,E6BDB79F99F5746899681682D6C3406FD749BE2D735FA5E13941A1B1CB9A4D79,10283599,G1,0.6228320848848895,26400,0.225232060412953,0,0.066,0.0942632184662971,1,80
p10,906036D541C48E59182AB3B75DF220180470E1ED2E408F3E122ADD59BC974E50,11147545,G1,0.5114182789704962,16300,0.287124456128403,0,0.066,0.09399754456460964,1,81
p10,11D1314B5C979CD0DDCA3F979B87339DD26E136BD754C9D4DB49E7E2CD6521AA,14624770,G1,0.3059568182628258,4500,0.5519924608497365,1,0.066,0.09376468837766636,1,82
p10,024C69E9EDD9C0D2856DA767BC5F2E73978C6AF37B5E27238924000BCCDBF53F,12887838,G1,0.359895648569657,12300,0.4190947961126781,0,0.066,0.09374874649488411,1,83
p10,B1AC50A5CB4C2F8FFA2F075E8FD0E4B51A61D5B7AA903F0A5F92569ECA965AB4,10297092,G1,0.3352308358078126,10200,0.4580570342783101,0,0.066,0.09354498170762265,1,84
p10,F4C58ABADE6A286898FA4984BAD0AFD6FE4D1FD5E6CD3F4545E5D469750DC641,14647705,G1,0.6439283489917577,9300,0.23920534934582874,0,0.066,0.09289614369214895,1,85
p10,AE2EBF005F5F83035A41B9E5F169928B2A370C9205642EA5C14BBED66D2322CA,8197650,G1,0.6000151251063698,28500,0.2273160231078849,0,0.066,0.09233916472612819,1,86
p10,A728CE71881A04A1B690AE578ECB9F6921FE6078E7964F1451FE53EE10DA17AA,9227033,G1,0.3241309418513034,25200,0.42283254598338127,0,0.066,0.0916729308976354,1,87
p10,4583901652FE26343AABBCCD9C5EF4BC23F5F10423720C3ABBD76ED95AFA35C8,14231104,G1,0.3439038391821276,11300,0.43240600340820345,0,0.066,0.09159620711776122,1,88
