grupo_ejec,clientes,score_promedio,tlv_promedio
1,3000,0.16198764060003307,0.022409448415310677
2,3000,0.05394616235157463,0.0033671621740697225
3,3000,0.034015445476239706,0.0012613708745874308
4,3000,0.024768242160330117,0.0005525707377601014
5,3000,0.018189376209972255,0.0002824819384118354
6,3000,0.013828442770967219,0.00016151018643351223
7,3000,0.010761203434704799,0.00010004689796216663
8,3000,0.008709123187837639,6.458251348349621e-05
9,3000,0.0071057970317131725,4.0851107437311386e-05
10,3000,0.005830669433402891,2.1070286033529544e-05
