experimento,tiempo_secuencial_seg,tiempo_paralelo_seg,speedup,reduccion_tiempo_pct,archivo,modificado
Rápido,39.56,27.68,1.429,30.03033367037412,training_2026-05-30_06-31-54.log,2026-05-30 06:34:02.422898
Completo,496.78,363.54,1.366,26.820725472039932,training_2026-05-30_06-34-34.log,2026-05-30 06:53:59.118327
