configuracion,Archivo de configuración,Periodos entrenamiento,Periodo validación,Periodos OOT,Periodo inferencia demo,Tamaño de muestra HPO,Iteraciones HPO,Workers paralelos,Modelos evaluados,MLflow
Rápida,C:\Users\uzzie\OneDrive\Escritorio\Nueva carpeta\Examen-parcial\config\config.yaml,N/D,N/D,N/D,N/D,30000,N/D,4,"LogisticRegression, RandomForest, ExtraTrees, GradientBoosting",tracking_uri: sqlite:///mlflow_store/mlflow.db; experiment_name: parcial_mlops_propension; inference_experiment_name: parcial_mlops_inferencia
Completa,C:\Users\uzzie\OneDrive\Escritorio\Nueva carpeta\Examen-parcial\config\config_completo.yaml,N/D,N/D,N/D,N/D,100000,N/D,4,"LogisticRegression, RandomForest, ExtraTrees, GradientBoosting",tracking_uri: sqlite:///mlflow_store/mlflow.db; experiment_name: parcial_mlops_propension; inference_experiment_name: parcial_mlops_inferencia
