grupo_ejec,clientes,score_promedio,tlv_promedio
1,800,0.5216239643520821,0.10994244951964019
2,800,0.5043357411739049,0.05405872760226959
3,800,0.4862675894944132,0.03849429398483104
4,800,0.4822659632894883,0.02779359917681645
5,800,0.4842061253917332,0.01998313692613395
6,800,0.4825707874672846,0.014445135905469187
7,800,0.4783295253744056,0.01038165657394122
8,800,0.4753190459808034,0.00726095054227912
9,800,0.4688086702239785,0.004721039967147026
10,800,0.45812573617455676,0.002210810185380938
