modelo,auc_train,auc_test,auc_oot,auc_gap,accuracy_test,f1_test,tiempo_fit_s,stability,es_campeon
GradientBoosting,0.8522422165592239,0.8302371482587073,0.8470269890322796,0.016789840773572262,0.9664625,0.002231312755671253,361.115,ESTABLE,True
RandomForest_HPO,0.8630465834995122,0.82293719655011,0.8434307238532562,0.02049352730314624,0.7436625,0.16294542634393241,77.763,ESTABLE,False
RandomForest,0.8520378544078324,0.821806465244399,0.8423524212964547,0.02054595605205567,0.729925,0.158513787194267,128.075,ESTABLE,False
LogisticRegression,0.8146148480489258,0.7981843028430989,0.8164485426505739,0.018264239807474936,0.7019125,0.14597285391970777,11.195,ESTABLE,False
ExtraTrees,0.8167494952282974,0.7918592956094481,0.8160873942576529,0.024228098648204743,0.6773375,0.13735253818133208,80.165,ESTABLE,False
