familia,importancia,porcentaje
"Saldos, deuda y consumo",0.3530555059121467,0.3530555059121467
Productos y actividad,0.20495400172410447,0.20495400172410447
Campañas y contacto,0.19773600569734948,0.19773600569734948
"Tarjeta, línea y crédito",0.1911279225885262,0.1911279225885262
Canales y transacciones,0.030818389874291974,0.030818389874291974
"Ingreso, tasa y valor económico",0.022000256516748612,0.022000256516748612
Variable categórica principal,0.0003079176868326399,0.0003079176868326399
